Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DDB__HMP3427_fast_batch_12h__2	44.236045770779214	5830747	79.67	10501160.0	0.9424754276834292	83.85840960114464	51.0	132.4725946905641	18.181818181818183	13180986.0
DDB__HMP3427_fast_feed_18h__1	28.685919739911753	3468848	75.6	9142019.0	0.8748890225850774	86.68029481581331	51.0	131.8527609360868	18.181818181818183	12092511.0
DDB__HMP3427_fast_feed_18h__2	39.886436608730456	5688951	71.1	10140338.0	0.7050691370495589	86.06872253145598	50.0	133.58797762385987	27.27272727272727	14262871.0
DDB__HMP3427_fast_feed_28h__1	14.120212916581835	1985589	90.97	12792249.0	1.204643099559533	91.40585898297533	52.0	121.83876321439439	27.27272727272727	14062033.0
DDB__HMP3427_fast_feed_28h__2	14.992471463371468	1618028	89.97	9710073.0	1.5303786049269572	90.26912256117923	52.0	122.79102274127686	27.27272727272727	10792270.0
DDB__HMP3427_fast_feed_3h__1	15.096517927064578	18699	72.71	90062.0	53.019345025403396	48.23232119357678	53.0	113.11204314444184	18.181818181818183	123863.0
DDB__HMP3427_fast_feed_3h__2	35.365670333585925	5069834	76.0	10894979.0	0.8894595175882803	85.4633461040452	51.0	133.1712780616076	18.181818181818183	14335467.0
DDB__HMP3427_slow_batch_12h__1	32.00890935632466	4330389	83.68	11320792.0	0.7583534576260101	85.79721193268381	51.0	132.63661524289955	18.181818181818183	13528699.0
DDB__HMP3427_slow_batch_12h__2	39.075360393718356	5494472	82.04	11536497.0	0.887215286515786	85.31680926452601	51.0	133.23314152208283	18.181818181818183	14061219.0
DDB__HMP3427_slow_feed_53h__1	27.328622040303717	3433799	71.04	8926303.0	1.1333131536510779	86.6908291233965	51.0	130.66657981057466	27.27272727272727	12564845.0
DDB__HMP3427_slow_feed_53h__2	29.05252529642144	4171637	69.16	9930934.0	0.912507724423272	87.12394071678023	50.0	132.08957766265328	27.27272727272727	14358948.0
DDB__HMP3427_slow_feed_7h__1	24.241849410642835	2936710	82.61	10008064.0	1.1114590546633958	87.06343984651237	52.0	124.4908964806307	27.27272727272727	12114216.0
DDB__HMP3427_slow_feed_7h__2	1.4977431398876069	211240	95.9	13525914.0	0.5766850379314916	94.99496432048399	54.0	135.26733566427467	9.090909090909092	14103887.0
DDB__HMP3427_slow_feed_86h__1	29.714177352180073	3763754	74.64	9453853.0	0.6714411680716164	86.54878699198463	51.0	132.2249552087131	27.27272727272727	12666526.0
DDB__HMP3427_slow_feed_86h__2	17.162480101133067	2404609	82.42	11548199.0	0.8464263864799381	89.21359808102184	52.0	126.24506418169692	18.181818181818183	14010848.0
DDB__MG1655_control_A__1	47.292524976353064	6893305	96.1	14006778.0	1.1257047128714064	83.04196531622173	52.0	129.7282024071674	27.27272727272727	14575887.0
DDB__MG1655_control_A__2	2.411581108406027	481697	96.57	19288375.0	0.55993360981204	94.75701936718703	54.0	138.03077991679618	27.27272727272727	19974323.0
DDB__MG1655_control_B__1	53.9955172912861	7454106	96.59	13334282.0	1.1743630728621197	82.24796725693965	51.0	127.60956044623104	27.27272727272727	13805046.0
DDB__MG1655_control_B__2	62.11947245211159	9424111	96.28	14606409.0	0.9916926168378531	82.61097603601874	51.0	130.63280738279653	18.181818181818183	15170945.0
