Geneid,phage__lbmm_t15__2,phage__lbmm_phage_t05__2,phage__lbmm_phage_t10__1,phage__lbmm_phage_t15__1,phage__lbmm_t10__1,phage__lbmm_t05__2,phage__lbmm_phage_t00__1,phage__lbmm_t05__1,phage__lbmm_t00__1,phage__lbmm_t10__2,phage__lbmm_phage_t15__2,phage__lbmm_phage_t00__2,phage__lbmm_phage_t05__1,phage__lbmm_t15__1,phage__lbmm_phage_t10__2,phage__lbmm_t00__2
b0029,8200,8824,11122,11895,6902,4625,3634,2795,3549,3778,15957,6569,6299,5703,6516,2819
b0030,158,237,513,560,304,171,113,104,100,227,376,802,207,313,322,375
b0031,1023,1541,3051,2489,1992,855,576,881,599,1005,2264,2221,1882,1431,1636,1075
b0032,474,266,201,241,108,164,200,88,157,88,1081,310,169,102,227,113
b0033,942,549,577,654,329,349,451,240,374,238,1637,448,483,323,583,243
b0034,110,186,651,424,333,99,35,72,42,315,180,506,122,329,463,280
b0035,40,35,30,74,14,22,11,11,12,30,49,59,27,23,41,20
b0036,12,34,27,51,14,16,6,13,11,20,43,24,17,16,16,7
b0037,125,163,144,233,89,81,40,38,59,77,278,106,81,96,142,36
b0038,92,152,164,155,73,69,30,51,38,59,190,144,92,55,123,57
b0039,81,136,251,148,125,118,38,50,50,79,187,202,99,103,134,105
b0040,10,23,42,30,16,11,9,10,2,8,22,35,20,17,16,9
b0041,5,13,10,7,10,4,6,8,5,0,11,14,4,6,5,4
b0042,6,25,12,19,14,7,4,9,8,7,31,22,13,14,22,11
b0043,11,21,22,31,16,9,4,17,11,2,14,22,12,15,9,10
b0044,0,4,1,1,1,2,1,1,0,0,0,8,0,0,2,0
b0045,3,3,19,6,8,6,3,7,1,0,13,13,11,7,6,4
b0046,15,15,30,35,31,25,9,23,11,12,17,31,22,12,15,18
b0047,122,233,391,269,210,107,120,145,125,107,326,371,284,173,237,198
b0048,658,515,543,771,341,293,507,154,503,224,1164,600,328,440,379,335
b0049,588,650,745,720,334,387,178,135,156,305,1278,523,335,380,597,218
b0050,365,852,562,607,246,296,154,117,145,186,1328,572,367,222,686,176
b0051,1324,2089,1473,1899,769,1030,645,412,593,728,3006,1523,984,904,1550,515
b0052,1497,2227,1977,2586,1045,1215,559,516,561,974,3552,1688,1107,1177,2014,743
b0053,2261,3552,5024,4896,2700,1903,1331,1401,1304,1513,5117,2701,3053,2456,3335,1297
b0054,4031,7483,8517,8231,4546,3502,2707,3339,2706,2721,10108,7666,7409,4055,5452,3096
b0055,529,898,756,746,479,513,304,280,286,390,1121,976,590,419,657,461
b0056,518,775,569,543,309,367,326,191,307,341,1197,942,381,365,593,446
b0057,54,51,116,110,32,52,32,25,20,33,107,70,67,20,57,23
b0058,667,1189,566,1207,304,477,834,246,765,281,1422,402,480,553,694,252
b0059,2376,3527,1232,3547,732,1353,2772,611,2815,687,5187,730,1132,1698,1827,389
b0060,142,323,367,315,197,212,104,118,84,139,295,384,239,172,283,251
b0061,6,39,25,5,13,32,1,9,1,3,11,6,6,7,10,9
b0062,21,56,38,45,14,19,3,10,4,22,10,84,13,16,17,29
b0063,9,16,33,29,33,14,7,13,3,7,16,97,14,18,20,47
b0064,45,55,539,326,311,25,161,157,211,124,103,649,302,181,262,433
b0065,216,273,449,576,207,131,188,147,197,86,422,753,285,263,133,374
b0066,97,150,178,235,110,47,145,66,122,45,181,47,147,111,134,37
b0067,55,55,71,95,47,32,51,41,63,29,109,40,80,61,34,20
b0068,111,132,137,155,96,106,118,57,151,23,250,307,133,84,62,136
b0069,161,292,654,420,415,182,143,207,164,138,279,732,433,214,294,345
b4662,12,27,26,26,8,12,3,4,1,15,15,13,3,10,18,15
b0070,256,382,859,611,497,228,207,279,171,275,483,874,561,303,493,517
b0071,13,13,110,88,63,12,5,14,13,8,17,12,43,26,20,10
b0072,49,64,463,367,233,45,29,91,37,41,86,71,222,158,92,49
b0073,31,59,279,201,148,42,23,60,20,30,54,53,204,63,42,22
b0074,71,118,526,372,260,75,62,202,62,63,185,143,438,160,138,91
b0075,0,0,11,5,0,1,0,4,0,1,0,0,0,3,0,1
b0076,17,79,206,110,111,55,44,105,21,42,42,167,137,87,87,101
b4726,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0
b0077,196,391,795,580,474,160,64,251,61,244,840,706,608,319,563,255
b0078,156,155,759,437,316,100,47,201,41,160,292,344,491,219,236,146
b0080,832,890,3148,3032,1804,530,721,761,603,1289,1897,2430,1500,1615,2372,1383
b0081,1300,2470,4817,3761,2589,1379,1363,1541,1173,1287,2950,4578,3767,1876,2449,2406
b0082,1246,2181,3466,2665,1805,1298,1136,1232,1170,1083,3175,4781,2598,1357,2050,2067
b0083,458,1197,1741,1139,892,506,490,477,416,472,1380,2246,1374,508,947,875
b0084,1201,1390,2948,2336,1729,912,1009,919,982,900,2230,3217,1812,1272,1499,1303
b0085,2534,2785,4893,4398,2856,1725,1640,1177,1463,1699,4915,4076,2494,2279,3149,1909
b0086,1164,1519,1661,1803,1086,1000,658,379,589,615,2184,941,832,1045,873,510
b0087,532,1139,1052,1314,499,486,338,177,302,230,1337,610,467,532,601,283
b0088,1386,2505,2203,2481,1213,1347,742,472,757,588,2820,1560,882,1248,1303,817
b0089,1387,2502,1935,2470,994,1047,763,431,745,550,3140,2099,1032,1240,1157,844
b0090,990,1321,1453,1767,625,707,607,359,563,561,2330,1485,766,862,980,784
b0091,1535,1631,1885,2462,1054,1009,891,536,803,1116,3266,2388,1143,1280,2128,1093
b0092,2940,4353,4274,5679,2421,2158,1736,1479,1653,2405,6444,4345,2971,2969,5200,1871
b0093,3769,5015,6866,7730,3449,2647,2311,1860,2367,2769,8520,8802,4500,3659,6068,3946
b0094,7042,10135,17217,13999,9712,5927,5543,5356,4983,6038,14708,19707,11663,7750,11229,10090
b0095,4198,5534,7456,6515,4303,2982,2410,2483,2300,2923,9303,9027,4807,3827,5464,4138
b0096,2225,3042,4712,4566,2290,1965,1533,1396,1515,1297,5041,4670,2663,2187,2956,1820
b0097,479,956,1179,1497,461,327,268,239,311,233,1643,1683,791,462,685,454
b0098,10509,17410,15965,20584,9508,9081,5077,4290,4953,4472,19731,10183,8801,10890,7986,4493
b0099,358,262,281,402,157,177,154,113,121,133,564,166,153,235,201,123
b0101,55,131,88,73,62,69,48,51,50,50,111,94,75,75,87,43
b0102,232,354,404,340,242,245,197,183,221,154,496,604,305,184,314,231
b0103,319,410,808,654,349,308,272,210,244,233,657,1764,561,310,506,676
b4727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
b0104,359,691,944,1086,433,443,304,334,333,288,1025,989,610,468,668,470
b0106,25,54,65,81,38,26,29,17,27,19,84,104,43,32,54,41
b0107,26,42,58,70,38,30,23,32,13,22,59,75,46,35,40,45
b0108,2,5,1,15,4,5,2,7,1,1,4,9,6,2,2,4
b0109,281,637,862,654,553,388,176,378,164,336,594,851,685,389,660,423
b0110,95,348,788,501,397,204,64,175,60,221,297,756,403,277,526,326
b0111,87,165,483,270,281,192,59,149,63,200,148,485,240,174,268,334
b0112,66,136,297,276,189,47,61,137,59,60,179,138,232,120,58,74
b0113,3165,2245,2403,3492,1520,769,223,1214,211,354,7831,2477,2606,1483,912,574
b0114,17180,60603,66213,58353,33617,22935,31775,14022,31933,13143,55280,33530,30473,28275,40822,16156
b0115,11801,42258,48669,45742,26896,18426,32983,12723,34012,13011,35982,33788,24492,24843,38595,16571
b0116,15935,33751,46443,46001,26108,15992,28060,16529,29218,14877,47879,40340,32719,23526,37750,19338
b0117,8,18,38,33,9,13,7,27,2,8,21,29,19,5,27,16
b0118,3483,6072,16323,12889,9257,3592,1979,5301,1749,2674,8847,10351,10219,7347,5021,5376
b0119,1036,2070,4904,3553,3121,1183,1054,1461,913,1591,2219,2573,2680,2178,2656,1734
b0120,2392,4226,3497,4166,1557,1669,3251,1629,3596,1251,7125,2014,3541,1749,3562,868
b0121,1226,1879,1751,2225,843,875,1471,839,1560,564,3466,1354,1671,993,1701,514
b0122,73,124,233,248,101,93,45,55,37,45,207,141,150,113,133,70
b0123,466,702,910,687,553,456,184,289,168,425,774,995,481,422,572,476
b0124,250,1243,821,441,388,444,623,382,721,260,663,148,756,193,771,108
b0125,1301,2229,2788,2375,1362,1285,1133,969,1235,942,3409,1603,2073,1237,2214,614
b0126,340,517,1386,994,654,253,530,771,516,180,887,793,1537,529,414,336
b0127,779,1445,2489,2090,1412,831,649,931,585,649,1861,1236,1676,1005,1273,623
b0128,269,560,960,758,500,269,212,274,197,248,633,566,571,365,522,221
b0129,34,26,225,219,147,36,21,44,22,95,77,106,72,95,213,50
b0130,123,295,267,217,135,182,127,116,95,94,199,442,187,128,251,289
b0131,372,729,1963,1298,746,396,330,693,305,332,907,928,1318,540,744,421
b0132,185,377,949,765,392,284,160,337,183,197,357,495,568,265,346,286
b0133,334,848,1524,1192,826,421,224,397,229,372,914,1131,752,530,800,540
b0134,230,523,913,718,592,361,205,277,204,260,567,686,501,401,507,352
b0135,33,68,73,67,34,25,33,38,18,17,72,88,52,18,43,50
b0136,7,28,24,23,13,7,8,7,8,4,33,50,7,7,21,16
b0137,13,19,29,26,15,13,8,28,13,10,25,36,19,14,14,20
b0138,11,42,39,33,29,12,18,27,8,12,34,38,22,16,19,39
b0139,27,85,58,93,38,32,19,52,12,14,85,86,43,34,61,61
b0140,9,35,10,27,22,12,14,29,2,14,70,13,7,9,3,20
b0141,6,1,5,7,4,2,0,0,0,1,5,0,4,3,1,0
b0142,118,275,124,144,64,120,78,67,92,42,328,80,114,62,121,20
b0143,1580,1708,1345,1929,743,1183,1105,546,1097,544,3202,2041,1141,941,883,830
b0144,155,100,184,284,126,52,299,74,256,65,355,287,106,187,83,92
b0145,8936,7661,30792,27839,17533,4907,14081,10420,13793,5208,18597,20828,19863,15156,9774,11403
b0146,522,664,3287,2273,2095,486,362,752,375,1209,825,2730,1182,1612,1766,1659
b0147,40,54,76,77,59,36,31,34,33,22,34,102,78,44,36,52
b0148,640,825,963,917,633,523,412,352,442,458,1012,1085,661,562,666,852
b0149,1358,1928,1897,1943,1075,1011,919,642,844,778,2315,1757,1388,1105,1421,814
b0150,98,589,2183,462,1088,327,1049,1737,1145,79,192,3234,3687,221,156,1575
b0151,31,62,171,67,86,50,89,74,80,24,55,218,160,37,18,111
b0152,7,25,75,39,43,32,49,36,63,11,33,88,86,27,6,51
b0153,33,129,263,139,166,88,109,76,129,36,35,102,100,80,79,52
b0154,538,850,1125,927,693,423,379,382,458,403,1117,1056,714,568,878,487
b0155,177,429,618,589,257,251,136,177,145,245,503,798,335,245,425,406
b4728,20,0,1,4,28,13,33,25,30,10,0,0,4,16,0,26
b0156,119,229,430,378,183,118,139,132,133,91,334,392,301,135,220,124
b0157,139,202,232,222,76,116,139,56,135,59,345,364,147,101,190,132
b0158,236,409,273,352,140,205,146,96,143,163,462,450,161,170,381,204
b0159,379,601,753,676,463,376,262,268,325,259,914,736,515,408,608,313
b0160,254,675,1770,960,1079,369,198,579,157,515,619,1273,1134,555,814,655
b0161,657,2620,2475,2452,1446,1189,299,528,283,664,1214,1338,1028,1398,1512,641
b0162,393,217,1446,1450,795,93,313,310,287,558,822,1152,462,802,1026,615
b0163,176,323,1158,732,624,208,124,271,105,354,300,719,469,563,594,509
b0164,14,54,125,94,26,23,14,27,11,20,59,163,79,30,56,38
b0166,1936,3277,8572,6402,5457,2111,1249,2495,1097,2214,3420,4188,4596,4220,3371,2411
b0167,302,733,966,715,516,502,330,351,300,278,688,999,695,430,549,437
b0168,576,1219,1516,1402,890,755,595,720,674,425,1252,1153,1274,788,856,628
b0169,16144,32057,28392,26169,14919,17477,19013,12818,20367,11340,43611,36190,24632,12786,28801,14614
b0170,19356,36884,39608,32769,21618,19615,22407,15702,22459,15328,48957,37029,30277,17087,34259,16894
b0171,6014,10133,6170,7047,3486,4874,6471,3463,6944,3684,15731,7171,6960,3069,7746,3380
b0172,7632,10053,12992,11004,7691,5276,6029,4947,5670,4959,17102,10897,9892,5801,9364,5051
b0173,520,713,671,765,328,398,258,197,266,215,1275,882,333,316,517,330
b0174,4214,3505,4186,5217,2070,2149,2531,1192,2561,1557,9187,5233,2606,2532,3125,2155
b0175,816,978,1021,1308,494,512,539,343,496,348,1724,824,714,622,660,314
b0176,2602,3792,4373,5161,2441,2101,1579,1313,1347,1265,5209,3040,2714,2685,2174,1566
b0177,7325,13514,14902,15430,8256,6321,3882,4600,4189,4659,16295,10750,9042,8005,9194,4836
b0178,2823,5905,8025,7845,3743,2425,1668,1742,1685,2403,8687,6008,4085,3577,6213,2172
b0179,6140,8643,8022,9954,4389,4703,4597,2677,4611,3480,13948,8854,5285,4955,7767,3698
b0180,3179,5719,4939,5484,2668,2727,2926,1637,3094,2237,8381,4668,3824,2704,5078,1887
b0181,1225,1853,1690,1790,920,1021,1070,652,1071,805,2679,1349,1172,1039,1604,618
b0182,2404,2828,2542,3151,1327,1403,1689,606,1455,1309,4950,2792,1590,1584,2461,1279
b0183,424,493,349,574,208,247,271,105,292,175,963,432,277,298,415,156
b0184,6109,8561,6034,9169,3363,4045,3645,1774,3580,2536,12567,3922,3937,4340,5108,2154
b0185,1882,2294,2705,2585,1462,1401,1547,1272,1457,1082,4146,2613,2280,1359,1951,1229
b0186,396,441,580,631,375,240,150,182,139,202,937,548,370,328,420,235
b0187,23,67,97,52,29,22,11,31,17,16,70,78,68,35,50,23
b0188,370,515,619,559,432,407,334,404,346,237,741,758,664,359,384,303
b0189,29,97,254,176,167,78,28,107,35,60,55,183,179,84,111,109
b4406,23,96,302,180,133,42,34,74,33,53,60,162,151,70,107,64
b0190,264,374,559,528,340,211,126,160,107,222,690,431,330,275,487,191
b0191,424,776,927,790,487,375,224,259,213,364,1009,942,674,347,683,351
b0192,413,778,1084,861,588,570,227,369,250,376,1046,1168,728,446,718,437
b0193,33,45,36,33,16,5,10,19,7,10,98,17,31,5,41,19
b0194,3657,5559,5194,5198,3146,3004,3134,2145,3080,2316,7854,4368,3787,2872,4704,2266
b0195,199,127,169,200,106,104,114,61,95,81,330,313,131,87,140,115
b0196,174,277,360,341,147,190,117,115,101,100,471,461,249,109,204,165
b0197,268,663,1659,1188,863,390,457,601,495,344,641,1333,1232,547,883,544
b0198,141,409,628,527,286,199,307,272,385,133,439,633,567,210,417,251
b0199,188,475,360,393,176,209,328,195,419,151,527,348,373,164,353,185
b0200,441,720,1016,913,524,479,227,306,203,425,898,690,647,444,753,424
b0207,91,180,210,238,120,119,87,115,86,68,215,234,169,149,138,106
b0208,81,228,774,360,430,102,88,248,87,136,140,535,508,202,223,259
b0209,133,437,936,648,502,244,106,311,102,222,326,1046,684,334,498,481
b0210,40,90,170,159,88,56,20,48,29,52,103,351,107,64,121,113
b0211,1076,1149,1749,1470,673,907,1204,431,1248,663,2016,2274,980,739,1113,1187
b0212,337,596,1043,759,552,264,217,364,226,287,686,938,575,399,673,331
b0213,64,85,241,146,92,63,31,78,41,82,107,192,121,77,130,118
b0214,190,226,239,258,160,114,105,91,106,126,282,268,185,147,187,131
b0215,528,1100,1113,972,602,522,458,449,369,448,1270,1707,823,521,826,684
b0217,141,87,101,132,70,93,97,36,103,32,249,256,81,82,65,67
b4586,0,14,2,9,3,3,1,3,2,7,12,8,5,4,4,5
b0218,3,5,9,6,5,2,4,11,5,3,9,13,12,6,14,9
b4503,10,7,17,6,5,4,3,12,8,6,1,2,12,5,4,5
b0219,79,326,726,539,401,184,47,227,48,217,228,462,434,256,346,282
b0220,120,338,888,512,511,166,150,290,191,174,220,498,532,323,231,291
b0221,25,51,320,182,183,37,62,285,40,29,98,186,456,105,74,133
b0222,1148,2194,3633,2785,2441,1318,845,1498,876,1254,2400,2998,2392,1714,2197,1593
b0223,209,411,668,485,394,274,148,219,141,217,512,886,457,241,434,402
b0224,473,370,681,677,219,252,211,184,217,144,1108,796,483,297,372,327
b0225,168,291,167,191,82,164,51,56,37,111,385,339,103,98,245,147
b0226,130,396,389,301,175,148,54,103,53,145,336,441,245,157,356,183
b0227,20,46,61,73,20,38,12,30,13,25,49,103,47,35,29,62
b0228,46,92,292,184,168,53,38,76,37,72,96,192,138,112,158,149
b0229,20,20,63,42,38,27,22,52,18,25,31,56,38,25,35,34
b0230,3,14,14,25,11,2,7,13,3,6,4,16,17,6,16,10
b0231,72,196,201,162,118,117,58,69,81,98,156,303,152,75,164,151
b0232,19,76,86,71,40,25,14,28,17,22,72,116,57,29,83,37
b0233,34,110,156,89,65,60,42,58,44,45,100,227,115,52,76,75
b0234,18,19,21,13,10,22,6,5,11,5,14,46,17,6,18,20
b0235,0,0,2,0,1,0,0,4,1,0,5,1,2,1,2,1
b0236,1,3,6,6,6,4,1,1,1,1,4,10,8,3,0,1
b0237,3925,5344,10004,8147,5833,3184,1566,2469,1519,3688,7730,6068,5026,4491,6474,3123
b0238,484,363,224,280,122,268,300,57,368,118,895,497,120,172,301,285
b0239,352,1040,1095,831,631,481,229,331,199,380,815,1321,705,394,808,534
b0240,291,376,1013,589,690,176,339,752,316,188,571,461,1504,453,281,356
b4710,19,23,25,12,16,25,10,7,5,12,28,25,11,17,17,17
b4709,3,13,14,13,5,7,3,13,2,1,7,16,11,2,14,8
b0241,16,24,109,57,38,21,32,62,23,13,29,114,77,21,16,50
b0242,755,1250,2564,1814,1474,728,575,791,585,717,1534,2515,1659,957,1232,1052
b0243,720,1420,2576,1916,1460,772,566,834,598,707,1616,1381,1696,1048,1232,511
b4626,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
b0245,0,3,4,2,0,1,0,0,0,2,0,0,2,1,0,0
b0246,0,0,3,2,3,0,0,2,0,1,7,0,0,2,1,0
b4504,3,1,2,1,0,2,0,1,1,0,0,1,0,0,0,2
b0247,1,1,4,6,1,2,0,1,2,1,8,2,5,0,0,1
b0248,0,5,2,9,3,0,1,7,0,0,2,4,2,1,1,5
b0249,1,5,4,4,4,0,1,2,3,0,11,0,0,0,3,3
b0250,18,78,429,357,213,21,54,106,43,31,50,89,179,221,67,36
b0251,17,56,277,221,147,30,24,68,29,28,49,108,175,99,40,51
b0252,25,4,27,21,15,9,13,21,8,7,30,26,15,16,14,21
b0253,211,129,420,359,239,100,121,103,122,153,267,350,196,202,240,269
b0254,13,11,31,27,19,7,12,18,5,14,11,23,15,9,11,23
b4587,134,372,356,270,195,129,88,105,81,145,334,545,266,143,368,190
b0256,45,143,119,91,109,64,24,62,28,59,92,219,88,66,107,74
b0258,99,110,150,144,115,87,47,69,36,65,118,129,123,95,95,68
b0259,1318,1489,2430,2237,1402,841,1356,1097,1302,858,2584,5026,2089,1161,1538,2251
b0260,5,8,22,17,17,8,16,17,12,2,23,29,19,12,3,16
b0261,42,79,474,311,253,42,45,75,39,180,136,319,220,178,270,187
b0262,14,28,27,32,18,20,8,3,11,8,33,26,14,13,20,20
b0263,5,9,5,3,0,2,6,2,1,3,2,8,1,0,5,1
b0264,36,56,52,59,23,34,16,12,28,25,95,111,33,30,54,62
b0265,11,19,50,37,25,35,9,25,14,18,31,72,20,22,21,25
b0266,35,44,129,66,51,44,21,37,19,22,38,102,85,47,75,54
b0267,5,18,38,32,26,19,2,29,9,5,17,48,29,8,10,18
b0268,143,192,1532,1261,848,148,261,470,240,137,317,991,864,663,304,456
b0269,532,810,3055,2756,1964,457,435,929,311,243,904,1935,2004,1532,365,1010
b0270,11,22,53,55,32,6,8,22,12,8,31,41,31,33,16,16
b0271,50,99,144,193,83,45,18,44,23,36,89,80,71,96,46,63
b0272,91,230,363,231,190,128,145,112,116,79,239,377,277,167,195,239
b0273,73,242,404,218,309,125,89,226,81,114,160,414,371,120,166,239
b4688,14,29,33,37,19,15,16,11,14,20,33,19,19,17,26,16
b0274,40,62,67,41,30,35,29,14,21,42,103,122,33,35,56,58
b0275,7,18,37,27,9,10,5,31,2,5,21,16,15,9,16,14
b0276,36,61,149,122,69,24,23,44,17,55,84,78,61,73,98,66
b0277,22,71,86,70,26,32,38,34,23,16,88,93,57,32,64,65
b0278,85,240,225,238,116,116,56,76,63,92,307,332,112,112,159,106
b0279,23,31,54,45,39,17,13,30,10,10,56,57,55,20,25,30
b4729,1,4,2,9,1,0,2,1,3,1,7,5,2,0,1,0
b0280,399,1261,2107,1549,1098,569,331,708,330,620,890,1383,1532,879,1405,675
b0281,169,642,1232,714,830,393,635,1101,709,299,582,1843,1827,378,525,857
b0282,7,41,5,40,18,13,14,27,4,5,47,29,15,10,18,23
b0283,12,39,25,40,26,12,7,21,7,11,24,23,12,8,13,20
b0284,34,58,103,85,65,33,32,53,13,30,142,81,71,39,46,56
b0285,0,5,11,15,7,6,5,13,0,6,6,8,8,3,8,12
b0286,7,6,13,19,6,3,5,27,1,1,3,12,14,6,2,10
b0287,173,503,1412,805,1038,283,256,585,264,312,414,1189,1032,598,376,548
b0288,3,5,7,19,8,6,1,9,5,1,6,21,12,2,2,8
b0289,22,35,91,79,45,34,20,29,15,24,60,103,40,31,39,50
b0290,60,102,129,89,83,48,34,53,22,64,101,182,88,75,111,95
b0291,10,47,78,36,41,29,20,58,22,18,66,92,46,28,58,37
b0292,11,37,13,28,28,15,12,18,5,12,42,14,9,28,12,26
b0293,7,29,25,40,17,9,5,24,8,4,46,25,13,12,20,15
b0294,3,12,17,14,6,7,6,20,3,4,33,14,17,1,6,9
b0295,13,8,61,54,36,25,5,31,11,11,14,22,30,25,10,20
b4506,5,2,2,4,18,13,9,13,0,10,5,4,1,12,3,9
b0296,15,69,203,149,94,26,52,47,32,34,76,100,128,72,48,52
b4671,3,0,5,3,12,4,3,4,0,2,0,2,4,11,1,12
b4630,0,0,3,0,2,0,0,2,0,1,1,0,0,0,0,2
b0297,2,24,9,24,6,4,7,9,3,7,20,3,0,9,2,7
b0298,0,1,0,2,2,0,0,2,0,0,0,0,0,0,4,1
b0299,1,9,5,0,5,6,4,13,4,3,9,7,5,5,0,10
b0300,34,114,147,105,80,63,19,60,25,36,132,212,132,47,105,109
b0301,10,46,46,52,31,19,17,37,20,15,53,43,32,16,56,28
b0303,8,8,7,5,5,4,7,9,7,8,23,6,7,4,2,5
b0304,64,100,91,140,109,53,59,148,15,59,130,180,75,56,69,102
b0305,13,10,39,46,25,18,15,35,12,16,38,67,19,22,31,35
b0306,649,965,8215,5708,4663,523,145,337,168,2993,2001,11653,732,3930,7499,3851
b0307,1175,974,5363,4406,2652,657,136,251,137,2589,2814,9531,493,3015,3906,4368
b0308,1403,1014,1577,2900,797,656,129,227,99,1000,2897,6259,327,2072,1454,2018
b0310,3,12,66,24,29,4,21,44,8,2,23,105,90,7,10,20
b0311,64,150,1894,498,1033,95,228,746,223,56,100,401,1712,278,160,161
b0312,69,133,1047,263,600,74,200,901,208,39,172,307,1901,157,113,156
b0313,39,58,505,223,211,24,108,331,92,20,125,64,921,81,49,37
b0314,59,103,234,226,227,31,161,491,134,31,193,71,972,89,46,51
b4730,0,0,0,0,0,2,0,4,1,0,0,0,0,1,0,0
b0315,169,177,258,316,109,170,170,81,178,88,397,400,182,149,148,159
b0316,90,152,600,466,310,85,97,156,96,220,124,264,286,246,361,209
b0317,2,23,50,37,26,8,8,20,3,14,28,38,12,21,25,18
b0318,16,24,81,40,30,21,1,12,2,22,47,46,17,21,53,20
b0319,9,8,9,14,6,3,4,3,3,2,10,5,3,1,5,4
b0320,25,18,12,25,12,9,5,19,11,5,40,28,7,17,29,14
b0321,17,31,13,23,12,6,6,13,11,7,11,23,18,14,8,12
b0322,2,1,4,2,4,5,0,3,0,2,6,1,0,3,4,0
b0323,5,10,13,3,12,4,3,13,4,4,8,14,11,12,7,3
b0324,119,209,337,263,202,113,95,155,77,98,209,360,248,129,161,188
b0325,66,121,334,178,176,103,42,121,55,96,168,249,193,93,115,142
b0326,6,12,10,21,8,5,4,8,4,6,21,27,5,11,6,9
b0327,40,20,138,93,53,27,36,36,21,23,38,61,90,62,25,49
b0328,15,14,273,154,150,4,13,39,11,77,33,146,61,99,144,92
b0329,9,58,121,132,45,39,20,31,11,32,37,132,60,60,41,49
b0330,6,16,36,35,31,5,8,42,4,10,17,25,34,22,16,11
b0331,3,1,5,3,4,2,0,8,2,2,5,8,5,4,8,3
b0333,2,3,7,6,9,4,2,4,1,1,8,8,2,2,1,3
b0334,4,4,7,13,8,0,0,6,2,1,9,2,11,4,2,2
b0335,30,44,82,54,67,33,22,37,30,16,33,58,58,37,34,31
b0336,332,44,70,58,67,51,69,32,69,36,592,60,60,56,101,32
b0337,556,369,373,352,217,208,241,140,230,201,1348,332,297,200,402,137
b0338,16,32,67,41,38,26,29,47,22,18,39,70,72,23,33,32
b0339,0,3,5,6,2,0,4,0,0,3,0,1,1,2,3,4
b0340,4,3,7,5,7,3,2,5,3,8,22,8,10,2,7,1
b0341,5,11,7,8,3,1,5,15,8,6,4,3,11,9,9,11
b0342,27,58,126,92,63,12,9,40,18,14,81,89,83,64,16,35
b0343,7,13,127,73,45,11,12,41,8,5,29,95,69,33,9,46
b0344,108,151,569,483,328,92,82,201,60,51,187,379,320,278,115,215
